"선수명","생년월일","입단연도","은퇴연도","경력","경기","생월","포지션"
"최영조",1963-01-15,1982,1982,1,25,1,"타자"
"구재서",1963-08-15,1982,1989,6,171,8,"타자"
"구천서",1963-08-15,1982,1993,12,836,8,"타자"
"한상연",1964-08-27,1982,1982,1,7,8,"투수"
"박종호",1964-12-07,1982,1982,1,4,12,"타자"
"이원국",1949-05-10,1983,1983,1,8,5,"투수"
"우용득",1950-02-13,1983,1983,1,14,2,"타자"
"이해창",1953-04-23,1983,1988,6,577,4,"타자"
"심재원",1953-07-30,1983,1991,9,551,7,"타자"
"조종규",1955-10-08,1983,1984,2,46,10,"타자"
"정성만",1955-10-10,1983,1987,5,98,10,"투수"
"김대진",1955-12-22,1983,1987,5,269,12,"타자"
"유종천",1956-03-25,1983,1983,1,5,3,"투수"
"임호균",1956-03-26,1983,1990,8,154,3,"투수"
"김현재",1956-06-04,1983,1984,2,14,6,"투수"
"정진호",1956-06-23,1983,1990,8,448,6,"타자"
"장효조",1956-07-06,1983,1992,10,961,7,"타자"
"배경환",1956-07-08,1983,1990,8,161,7,"투수"
"유두열",1956-10-29,1983,1991,9,734,10,"타자"
"정구선",1956-12-15,1983,1990,8,768,12,"타자"
"우경하",1957-10-15,1983,1988,6,322,10,"타자"
"박승호",1958-02-09,1983,1993,11,947,2,"타자"
"김시진",1958-03-20,1983,1992,10,273,3,"투수"
"최동원",1958-05-24,1983,1990,8,248,5,"투수"
"황기선",1958-06-02,1983,1987,5,87,6,"투수"
"김진우",1958-09-24,1983,1989,6,471,9,"타자"
"장진범",1959-01-02,1983,1987,5,140,1,"타자"
"정선두",1959-06-06,1983,1987,4,39,6,"투수"
"박종훈",1959-06-12,1983,1989,7,679,6,"타자"
"송일섭",1959-08-17,1983,1990,8,613,8,"타자"
"박영태",1959-08-25,1983,1992,10,677,8,"타자"
"김석일",1959-11-26,1983,1987,5,223,11,"타자"
"박정후",1959-12-22,1983,1985,3,50,12,"투수"
"양승호",1960-01-10,1983,1986,4,195,1,"타자"
"오영일",1960-02-06,1983,1990,8,215,2,"투수"
"김종근",1960-03-16,1983,1983,1,12,3,"타자"
"황병일",1960-03-22,1983,1990,8,368,3,"타자"
"김성호",1960-03-26,1983,1985,3,140,3,"타자"
"최홍석",1960-03-28,1983,1991,7,311,3,"타자"
"김문영",1960-04-24,1983,1988,6,191,4,"타자"
"장호연",1960-05-05,1983,1995,13,346,5,"투수"
"박철영",1960-05-22,1983,1988,6,200,5,"타자"
"홍승규",1960-06-20,1983,1990,8,497,6,"타자"
"김호근",1960-06-29,1983,1993,11,690,6,"타자"
"한대화",1960-07-08,1983,1997,15,1331,7,"타자"
"유성룡",1960-07-18,1983,1985,3,38,7,"타자"
"이광길",1960-08-04,1983,1992,9,561,8,"타자"
"신계석",1960-09-05,1983,1983,1,1,9,"투수"
"김정수",1960-10-13,1983,1985,3,181,10,"타자"
"이성수",1960-10-23,1983,1986,3,55,10,"타자"
"엄평재",1960-10-24,1983,1983,1,13,10,"투수"
"김동재",1960-10-31,1983,1993,11,566,10,"타자"
"이선웅",1961-02-11,1983,1992,10,878,2,"타자"
"김상기",1961-03-03,1983,1987,4,26,3,"투수"
"한문연",1961-04-10,1983,1992,10,663,4,"타자"
"양일환",1961-06-10,1983,1989,7,139,6,"투수"
"김근석",1962-06-18,1983,1988,6,394,6,"타자"
"박동경",1964-03-03,1983,1988,4,34,3,"투수"
"박해종",1952-09-09,1984,1985,2,43,9,"타자"
"이삼열",1955-03-10,1984,1984,1,3,3,"타자"
"김성호",1955-09-01,1984,1987,3,33,9,"타자"
"김진근",1956-03-16,1984,1987,4,109,3,"타자"
"유제룡",1956-08-11,1984,1986,2,77,8,"타자"
"홍희섭",1957-02-08,1984,1985,2,15,2,"타자"
"이석규",1957-02-13,1984,1986,2,72,2,"타자"
"정인교",1957-12-23,1984,1987,4,48,12,"타자"
"김경표",1960-04-29,1984,1989,6,245,4,"타자"
"김상훈",1960-07-06,1984,1995,12,1143,7,"타자"
"김이수",1960-08-04,1984,1986,3,99,8,"타자"
"김진욱",1960-08-05,1984,1993,10,231,8,"투수"
"강정남",1960-08-14,1984,1984,1,22,8,"타자"
"사인상",1960-12-18,1984,1986,2,8,12,"타자"
"김광림",1961-03-09,1984,1999,16,1630,3,"타자"
"김봉근",1961-03-13,1984,1992,8,128,3,"투수"
"전용권",1961-04-12,1984,1991,7,70,4,"투수"
"김재열",1961-04-25,1984,1988,4,53,4,"투수"
"김민호",1961-04-28,1984,1996,13,1207,4,"타자"
"김명구",1961-05-15,1984,1988,5,112,5,"타자"
"진동한",1961-06-04,1984,1992,8,165,6,"투수"
"최계훈",1961-06-06,1984,1986,3,86,6,"투수"
"이문한",1961-07-03,1984,1991,6,105,7,"투수"
"김영균",1961-07-12,1984,1988,5,211,7,"타자"
"권기홍",1961-07-12,1984,1988,5,21,7,"투수"
"윤석환",1961-07-17,1984,1991,8,235,7,"투수"
"최일언",1961-07-27,1984,1992,9,240,7,"투수"
"조도연",1961-08-06,1984,1989,5,91,8,"투수"
"조성옥",1961-08-25,1984,1995,12,917,8,"타자"
"김성래",1961-12-03,1984,2000,17,1277,12,"타자"
"안창완",1961-12-05,1984,1991,8,140,12,"투수"
"배원영",1962-01-15,1984,1986,2,7,1,"타자"
"김한조",1962-01-25,1984,1988,5,225,1,"타자"
"정성룡",1964-05-19,1984,1995,11,528,5,"타자"
"문희수",1965-03-15,1984,1995,12,241,3,"투수"
"조용철",1965-08-22,1984,1985,2,7,8,"투수"
"이충우",1958-08-13,1985,1988,4,26,8,"투수"
"임창호",1959-01-05,1985,1985,1,3,1,"타자"
"이승희",1959-04-03,1985,1992,7,556,4,"타자"
"박명운",1959-07-17,1985,1985,1,2,7,"타자"
"박기수",1959-11-27,1985,1985,1,4,11,"타자"
"김용수",1960-05-02,1985,2000,16,613,5,"투수"
"김준희",1960-05-16,1985,1987,3,13,5,"투수"
"양상문",1961-03-24,1985,1993,9,272,3,"투수"
"이순철",1961-04-18,1985,1998,14,1388,4,"타자"
"박동수",1961-06-12,1985,1993,9,209,6,"투수"
"한오종",1961-06-16,1985,1991,5,35,6,"투수"
"김명성",1961-08-24,1985,1986,2,92,8,"타자"
"최재은",1961-08-24,1985,1985,1,2,8,"타자"
"양후승",1961-09-11,1985,1992,7,387,9,"타자"
"정삼흠",1961-11-05,1985,1996,12,388,11,"투수"
"김영신",1961-11-09,1985,1986,2,22,11,"타자"
"박흥식",1962-01-05,1985,1993,9,660,1,"타자"
"이병억",1962-01-05,1985,1986,2,24,1,"타자"
"안언학",1962-01-06,1985,1985,1,10,1,"투수"
"탁재원",1962-01-14,1985,1985,1,10,1,"타자"
"홍순호",1962-01-21,1985,1987,3,29,1,"타자"
"신태순",1962-02-13,1985,1986,2,22,2,"투수"
"이동완",1962-02-14,1985,1985,1,16,2,"타자"
"김태업",1962-02-19,1985,1985,1,35,2,"타자"
"이종두",1962-04-05,1985,1997,13,1054,4,"타자"
"유지홍",1962-04-24,1985,1990,6,264,4,"타자"
"김성갑",1962-05-03,1985,1995,11,942,5,"타자"
"김기철",1962-05-24,1985,1985,1,5,5,"투수"
"김용국",1962-06-21,1985,1995,11,1092,6,"타자"
"최상주",1962-08-07,1985,1988,4,50,8,"투수"
"김형석",1962-08-18,1985,1998,14,1416,8,"타자"
"정은배",1962-10-19,1985,1992,7,100,10,"투수"
"한영준",1962-11-14,1985,1996,12,1009,11,"타자"
"선동열",1963-01-10,1985,1995,11,367,1,"투수"
"윤덕규",1963-02-25,1985,1997,13,1275,2,"타자"
"박희찬",1963-05-01,1985,1988,4,26,5,"타자"
"김정태",1957-01-01,1986,1987,2,95,1,"타자"
"김종수",1957-03-15,1986,1987,2,117,3,"타자"
"김연철",1958-03-20,1986,1988,3,41,3,"투수"
"이우상",1958-11-29,1986,1986,1,6,11,"투수"
"조호표",1958-12-02,1986,1986,1,2,12,"투수"
"오덕환",1959-02-14,1986,1988,3,198,2,"타자"
"최광묵",1960-01-01,1986,1986,1,23,1,"타자"
"김경갑",1960-02-01,1986,1987,2,105,2,"타자"
"기세봉",1960-02-01,1986,1986,1,1,2,"투수"
"조병천",1960-05-25,1986,1992,7,142,5,"투수"
"이강돈",1961-02-27,1986,1997,12,1217,2,"타자"
"이군노",1961-02-27,1986,1986,1,26,2,"타자"
"장훈",1961-06-26,1986,1986,1,2,6,"타자"
"윤학길",1961-07-04,1986,1997,12,308,7,"투수"
"도이석",1961-09-13,1986,1987,2,72,9,"타자"
"민문식",1961-11-26,1986,1987,2,11,11,"투수"
"전대영",1962-01-10,1986,1994,9,584,1,"타자"
"이광근",1962-01-24,1986,1992,7,401,1,"타자"
"서효인",1962-02-06,1986,1995,10,304,2,"타자"
"임재준",1962-02-07,1986,1989,4,18,2,"투수"
"예병준",1962-03-12,1986,1990,5,52,3,"투수"
"송상진",1962-03-22,1986,1986,1,8,3,"타자"
"오명록",1962-04-06,1986,1990,5,81,4,"투수"
"강상진",1962-04-17,1986,1991,4,27,4,"투수"
"이복근",1962-04-21,1986,1991,6,265,4,"타자"
"이상군",1962-04-21,1986,2001,14,320,4,"투수"
"임순태",1962-05-05,1986,1986,1,12,5,"타자"
"김성수",1962-05-07,1986,1989,4,43,5,"타자"
"김현택",1962-05-09,1986,1986,1,9,5,"타자"
"이정은",1962-05-23,1986,1986,1,35,5,"타자"
"김대현",1962-06-16,1986,1988,3,80,6,"투수"
"유해덕",1962-06-21,1986,1988,3,61,6,"타자"
"이성근",1962-06-23,1986,1988,3,19,6,"타자"
"윤홍식",1962-06-26,1986,1987,2,47,6,"타자"
"한희민",1962-07-19,1986,1993,8,204,7,"투수"
"김정수",1962-07-24,1986,2003,18,600,7,"투수"
"강정길",1962-07-25,1986,1995,10,1037,7,"타자"
"김훈기",1962-07-25,1986,1989,4,64,7,"투수"
"성준",1962-09-25,1986,1999,14,301,9,"투수"
"박노준",1962-10-26,1986,1997,12,1016,10,"타자"
"박노준",1962-10-26,1986,1988,3,43,10,"투수"
"최무영",1962-11-02,1986,1989,4,66,11,"타자"
"천성호",1963-01-07,1986,1986,1,5,1,"투수"
"차동철",1963-01-27,1986,1997,12,323,1,"투수"
"김수길",1963-02-01,1986,1990,5,132,2,"타자"
"이창원",1963-02-22,1986,1993,7,221,2,"타자"
"민경삼",1963-02-24,1986,1992,7,560,2,"타자"
"임경택",1963-03-02,1986,1992,6,149,3,"타자"
"김상국",1963-04-05,1986,1997,12,1092,4,"타자"
"이건열",1963-04-25,1986,1997,12,896,4,"타자"
"구윤",1963-06-18,1986,1994,9,399,6,"타자"
"김성현",1963-08-21,1986,1998,10,622,8,"타자"
"김건우",1963-08-30,1986,1997,6,94,8,"투수"
"최계영",1963-09-03,1986,1993,8,593,9,"타자"
"김평호",1963-12-23,1986,1992,5,458,12,"타자"
"김태원",1964-01-28,1986,1998,12,273,1,"투수"
"김동기",1964-03-05,1986,1996,11,1019,3,"타자"
"장채근",1964-03-28,1986,1995,10,734,3,"타자"
"신성철",1964-08-10,1986,1986,1,1,8,"타자"
"김종문",1964-11-10,1986,1991,6,70,11,"타자"
"손문곤",1965-01-29,1986,1992,6,93,1,"투수"
"최동창",1965-06-07,1986,1994,9,371,6,"타자"
"박형열",1967-11-13,1986,1991,4,42,11,"투수"
"김경호",1972-04-24,1986,1986,1,3,4,"타자"
"김윤환",1957-08-01,1987,1991,5,457,8,"타자"
"김영직",1960-09-26,1987,1995,9,715,9,"타자"
"정태관",1961-06-05,1987,1988,2,9,6,"타자"
"김강익",1961-12-05,1987,1989,3,22,12,"투수"
"이재성",1962-04-24,1987,1991,5,112,4,"타자"
"이척기",1962-05-25,1987,1990,4,18,5,"투수"
"이동수",1962-08-05,1987,1988,2,9,8,"투수"
"안대환",1962-09-14,1987,1993,7,387,9,"타자"
"김경남",1963-01-07,1987,1987,1,2,1,"투수"
"이연수",1963-03-03,1987,1999,9,299,3,"타자"
"김정수",1963-03-15,1987,1992,5,139,3,"타자"
"김대중",1963-03-16,1987,1992,6,135,3,"투수"
"류중일",1963-04-28,1987,1999,13,1095,4,"타자"
"황윤태",1963-05-08,1987,1989,3,57,5,"타자"
"박태호",1963-05-13,1987,1992,6,204,5,"타자"
"백인호",1963-05-19,1987,1999,12,953,5,"타자"
"이정훈",1963-08-28,1987,1997,11,918,8,"타자"
"이상훈",1963-10-22,1987,1992,5,67,10,"투수"
"이동석",1964-01-11,1987,1993,7,123,1,"투수"
"이중화",1964-02-11,1987,1996,10,711,2,"타자"
"최진영",1964-03-04,1987,1988,2,2,3,"투수"
"장태수",1964-03-15,1987,1990,4,65,3,"투수"
"김만후",1964-03-26,1987,1992,3,202,3,"타자"
"박철우",1964-04-12,1987,1998,12,961,4,"타자"
"김종갑",1964-06-18,1987,1992,6,218,6,"타자"
"김종석",1964-07-15,1987,1993,6,96,7,"투수"
"조재환",1964-11-19,1987,1990,4,217,11,"타자"
"정국헌",1964-11-25,1987,1990,4,48,11,"타자"
"정상진",1964-12-10,1987,1992,5,165,12,"타자"
"조용호",1965-02-13,1987,1993,6,361,2,"타자"
"전종화",1965-08-10,1987,1997,10,355,8,"타자"
"송유석",1966-07-16,1987,2001,15,467,7,"투수"
"최창호",1966-11-08,1987,2002,16,510,11,"투수"
"장종훈",1968-04-10,1987,2005,19,1950,4,"타자"
"박현영",1968-08-30,1987,1998,11,522,8,"타자"
"곽동열",1955-05-10,1988,1989,2,42,5,"타자"
"박상국",1960-09-06,1988,1992,5,229,9,"타자"
"이상구",1963-02-27,1988,1991,4,63,2,"투수"
"임채섭",1963-12-25,1988,1989,2,4,12,"타자"
"이홍식",1964-01-30,1988,1989,2,77,1,"타자"
"김광윤",1964-03-05,1988,1990,2,19,3,"타자"
"조양근",1964-03-22,1988,1994,7,533,3,"타자"
"조상헌",1964-05-03,1988,1989,2,30,5,"타자"
"박성현",1964-07-02,1988,1988,1,3,7,"타자"
"장정순",1964-08-01,1988,1997,9,176,8,"투수"
"이현택",1964-09-28,1988,1992,5,207,9,"타자"
"차영석",1964-10-06,1988,1989,2,26,10,"타자"
"여태구",1964-12-10,1988,1995,8,589,12,"타자"
"정윤수",1964-12-17,1988,1993,6,116,12,"투수"
"김용희",1964-12-20,1988,1989,2,64,12,"타자"
"송형석",1965-01-28,1988,1988,1,6,1,"타자"
"오효근",1965-02-13,1988,1990,3,26,2,"타자"
"구명근",1965-02-21,1988,1989,2,12,2,"투수"
"서창기",1965-03-07,1988,1992,4,202,3,"타자"
"길홍규",1965-03-31,1988,1996,9,364,3,"타자"
"문병권",1965-04-04,1988,1993,6,147,4,"투수"
"유동효",1965-04-16,1988,1994,6,435,4,"타자"
"강병선",1965-05-09,1988,1988,1,1,5,"타자"
"김진규",1965-05-10,1988,1993,6,306,5,"타자"
"고정식",1965-05-15,1988,1993,4,76,5,"타자"
"안성수",1965-05-20,1988,1988,1,1,5,"투수"
"한용덕",1965-06-02,1988,2004,17,482,6,"투수"
"박상범",1965-07-07,1988,1994,6,48,7,"투수"
"홍성연",1965-07-18,1988,1991,4,71,7,"투수"
"김상호",1965-10-19,1988,2000,13,1229,10,"타자"
"유광진",1965-10-19,1988,1988,1,11,10,"타자"
"김성규",1965-12-09,1988,1993,6,357,12,"타자"
"이국성",1965-12-28,1988,1995,8,187,12,"투수"
"김원식",1966-02-13,1988,1988,1,1,2,"타자"
"신완근",1966-02-14,1988,1993,6,112,2,"투수"
"이용철",1966-10-06,1988,1994,7,109,10,"투수"
"곽권희",1966-10-14,1988,1992,4,160,10,"타자"
"양현기",1966-11-20,1988,1988,1,12,11,"타자"
"원원근",1967-03-02,1988,1995,8,458,3,"타자"
"김승태",1969-03-07,1988,1988,1,1,3,"타자"
"박정현",1969-07-10,1988,2000,12,253,7,"투수"
"서정용",1969-09-05,1988,1991,4,51,9,"투수"
"하창우",1969-10-24,1988,1994,7,30,10,"투수"
"지성규",1969-11-15,1988,1990,3,17,11,"투수"
"김선훈",1969-12-16,1988,1989,2,17,12,"타자"
"정명진",1961-11-13,1989,1992,4,34,11,"투수"
"김진규",1962-06-30,1989,1992,4,105,6,"투수"
"김건우",1963-08-30,1989,1993,3,150,8,"타자"
"이재홍",1963-09-24,1989,1993,4,87,9,"투수"
"강기웅",1964-02-25,1989,1996,8,672,2,"타자"
"김덕근",1964-03-01,1989,1992,4,43,3,"투수"
"조계현",1964-05-01,1989,2001,13,320,5,"투수"
"김진한",1964-05-19,1989,1992,4,126,5,"타자"
"최해명",1964-12-25,1989,1993,5,240,12,"타자"
"노찬엽",1965-01-15,1989,1997,9,884,1,"타자"
"강영수",1965-02-10,1989,1998,10,828,2,"타자"
"이종옥",1965-03-11,1989,1992,4,26,3,"타자"
"이광우",1965-03-14,1989,2002,14,318,3,"투수"
"장호익",1965-05-11,1989,1989,1,38,5,"타자"
"현남수",1965-07-14,1989,1991,3,112,7,"타자"
"김선일",1965-08-02,1989,1996,8,460,8,"타자"
"허정욱",1965-08-04,1989,1991,3,41,8,"투수"
"유명선",1965-09-03,1989,1996,8,165,9,"투수"
"노민승",1965-11-20,1989,1989,1,5,11,"투수"
"김기범",1965-12-13,1989,1999,11,391,12,"투수"
"김응국",1966-01-14,1989,2003,15,1440,1,"타자"
"안민석",1966-02-07,1989,1989,1,29,2,"타자"
"송진우",1966-02-16,1989,2009,21,672,2,"투수"
"윤동배",1966-03-03,1989,1996,7,76,3,"투수"
"이재호",1966-03-07,1989,1989,1,2,3,"타자"
"손경호",1966-03-10,1989,1990,2,8,3,"타자"
"문승훈",1966-03-14,1989,1992,4,109,3,"타자"
"이종운",1966-04-06,1989,1998,10,739,4,"타자"
"이희성",1966-05-02,1989,1997,9,643,5,"타자"
"이강철",1966-05-24,1989,2005,16,602,5,"투수"
"정명원",1966-06-14,1989,2000,12,395,6,"투수"
"하용석",1966-06-23,1989,1989,1,4,6,"타자"
"박선일",1966-07-22,1989,1996,8,287,7,"타자"
"이명수",1966-07-29,1989,2001,13,1219,7,"타자"
"김청수",1966-08-06,1989,1994,6,120,8,"투수"
"김태완",1966-08-20,1989,1991,3,140,8,"타자"
"서호진",1966-08-25,1989,1993,4,104,8,"투수"
"이진",1966-09-15,1989,1993,4,82,9,"투수"
"김동현",1966-10-12,1989,1993,5,116,10,"투수"
"김풍기",1966-10-19,1989,1990,2,16,10,"타자"
"김락기",1966-10-28,1989,1993,5,70,10,"투수"
"한명수",1966-11-13,1989,1990,2,8,11,"투수"
"김상우",1966-12-14,1989,1994,6,131,12,"타자"
"구동우",1966-12-27,1989,1994,6,146,12,"투수"
"나웅",1967-01-11,1989,1995,6,292,1,"타자"
"이상대",1967-01-18,1989,1994,6,350,1,"타자"
"최훈재",1967-01-21,1989,2001,13,1054,1,"타자"
"박성훈",1967-01-23,1989,1990,2,44,1,"타자"
"김인호",1967-01-26,1989,2001,13,1065,1,"타자"
"이종호",1967-02-15,1989,1996,8,570,2,"타자"
"박준태",1967-02-22,1989,1998,10,720,2,"타자"
"강종필",1967-02-28,1989,1997,7,427,2,"타자"
"윤재호",1967-03-06,1989,1996,8,615,3,"타자"
"곽연수",1967-03-18,1989,1994,6,299,3,"타자"
"황대연",1967-07-20,1989,1996,7,550,7,"타자"
"이승범",1967-07-27,1989,1989,1,4,7,"타자"
"나광남",1967-08-05,1989,1991,3,104,8,"타자"
"강석천",1967-12-07,1989,2003,15,1457,12,"타자"
"성군철",1968-05-25,1989,1992,4,156,5,"타자"
"조진구",1969-02-10,1989,1989,1,10,2,"투수"
"강규성",1969-03-25,1989,1994,3,16,3,"투수"
"김형균",1969-05-14,1989,1991,3,27,5,"투수"
"정종헌",1969-07-12,1989,1989,1,1,7,"투수"
"이주헌",1969-11-17,1989,1989,1,3,11,"투수"
"손창현",1970-01-01,1989,1989,1,1,1,"투수"
"정존수",1970-01-23,1989,1990,2,5,1,"타자"
